boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1144,18/04/2024,10/04/2024,Decreto,DECRE-2024-336-SI-INTEN,"Expte. 44/2023 (Alcance 1).- Otorgar un reconocimiento de mayores costos a la firma PRAXAIR ARGENTINA S.R.L., adjudicataria de la Licitación Pública N° 6/2023, referente al servicio de “PROVISIÓN DE OXÍGENO MEDICINAL LÍQUIDO EN TANQUES CRIOGÉNICOS”.-",Mayores costos,
#1144,18/04/2024,10/04/2024,Decreto,DECRE-2024-339-SI-INTEN,"Expte. Nº 1814/2024.- Adjudicación del Concurso de Precios N° 27/2024, para la “PROVISIÓN DE STENTS”.-",Adjudicación,
#1144,18/04/2024,11/04/2024,Decreto,DECRE-2024-343-SI-INTEN,"Expediente 8980-2020 (Alcance 59) - Otorgar un reconocimiento de mayores costos a NOEMÍ GRACIELA ANTEZANA (CUIT N° 27-11066283-7), adjudicataria de la Licitación Pública N° 14/2020.",Mayores costos,
#1144,18/04/2024,11/04/2024,Decreto,DECRE-2024-344-SI-INTEN,"Expediente 8980-2020 (Alcance 52) - Otorgar un reconocimiento de mayores costos a la firma RECONSTRUCCIÓN CAÑOS S.A. (CUIT N° 30-67779097-7), adjudicataria de la Licitación Pública N° 14/2020.",Mayores costos,
#1144,18/04/2024,12/04/2024,Decreto,DECRE-2024-351-SI-INTEN,"Expte. Nº 2466/2024.- Adjudicación de la Licitación Privada N° 13/2024, para la provisión de “ARTÍCULOS DE MOBILIARIO PARA ESCUELAS MUNICIPALES”.-",Adjudicación,
#1144,18/04/2024,12/04/2024,Decreto,DECRE-2024-352-SI-INTEN,"Expediente 3901-2021 (Alcance 12) - Otorgar un reconocimiento de mayores costos a la firma OLSTRAN S.R.L.(C.U.I.T. N° 30-70995140-4), adjudicataria de la Licitación Pública N° 20/2021.",Mayores costos,
#1144,18/04/2024,12/04/2024,Decreto,DECRE-2024-354-SI-INTEN,"Expte. Nº 613/2024- Adjudicar la Licitación Pública Nº 2/2024 para la ""Provisión de Medicamentos"".",Adjudicación,
#1144,18/04/2024,12/04/2024,Decreto,DECRE-2024-355-SI-INTEN,"Expediente Nº 614-2024 - Adjudicar la Licitación Pública Nº 3/2024, para la “PROVISIÓN DE INSUMOS QUÍMICOS”.",Adjudicación,
#1144,18/04/2024,12/04/2024,Decreto,DECRE-2024-356-SI-INTEN,"Expte. Nº 615/2024- Adjudicar la Licitación Pública Nº 5/2024, para la provisión de ""Insumos de Hemoterapia"".-",Adjudicación,
#1279,30/04/2024,18/04/2024,Decreto,DECRE-2024-370-SI-INTEN,"Expte. Nº 2459-2024.- Adjudicación del Concurso de Precios N° 46/2024, para la contratación del “SERVICIO DE GESTIÓN DE SOLUCIONES DE CONTACT CENTER”.-",Adjudicación,
#1279,30/04/2024,19/04/2024,Decreto,DECRE-2024-374-SI-INTEN,"Expte. Nº 612-2024 (Cuerpos 0, 2, 3, 4, 5, 6 y 7).- Adjudicación de Licitación Pública Nº 1/2024, para la provisión de “MATERIAL DESCARTABLE”.-",Adjudicación,
#1279,30/04/2024,19/04/2024,Decreto,DECRE-2024-375-SI-INTEN,"Expediente Nº 616-2024 (Cuerpos 0, 2 y 3) - Adjudicar la Licitación Pública Nº 4/2024, para la adquisición de “INSUMOS DE BACTERIOLOGÍA Y DESCARTABLES DE LABORATORIO”.",Adjudicación,
#1279,30/04/2024,19/04/2024,Decreto,DECRE-2024-376-SI-INTEN,"Expediente Nº 3066-2024 (Cuerpos 0 y 2) - Adjudicar a TINTENFISCH S.A. (C.U.I.T. Nº 30-71750790-4), el Concurso de Precios N° 56/2024, para la “ADQUISICIÓN DE ALIMENTOS”.",Adjudicación,
#1279,30/04/2024,19/04/2024,Decreto,DECRE-2024-377-SI-INTEN,"Expediente Nº 1052-2024 - Adjudicar a ROSSI MARCELA MARINA (C.U.I.T. 27-22200571-5, el Concurso de Precios N° 9/2024, para la adquisición de “FOTODUPLICACIONES”.",Adjudicación,
#1279,30/04/2024,19/04/2024,Decreto,DECRE-2024-378-SI-INTEN,Expte. Nº 2491/2024- Adjudicar a HIERROTODO S.A. el Concurso de Precios N° 44/2024 para la provisión de “MATERIALES DE HERRERÍA PARA PAÑOL DE LA SUBSECRETARÍA DE OBRAS PÚBLICAS”.-,Adjudicación,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-421-SI-INTEN,"Expediente Nº 2238-2024 - Adjudicar a BHAURAC S.A. (C.U.I.T. Nº 30-61181661-4), el Concurso de Precios N° 38/2024, para la contratación del “SERVICIO DE MANTENIMIENTO PREVENTIVO/CORRECTIVO DE LOS EQUIPOS DE DIAGNÓSTICO POR IMÁGENES”.",Adjudicación,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-422-SI-INTEN,"Expediente Nº 2239-2024 - Adjudicar el Concurso de Precios N° 35/2024, para la adquisición de “ARTÍCULOS DE LIMPIEZA”.",Adjudicación,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-423-SI-INTEN,"Expediente Nº 2490-2024 - Adjudicar a CIUDAD HOSPITALARIA S.R.L. (C.U.I.T. Nº 30-71165744-0), el Concurso de Precios N° 43/2024, para la adquisición de “CATETER DOBLE JOTA Y SET DE NEFROTOMÍA”.",Adjudicación,
#1279,30/04/2024,24/04/2024,Decreto,DECRE-2024-437-SI-INTEN,"Expediente Nº 8980-2020 (Alcance 63) - Otorgar un reconocimiento de mayores costos a CONTENEDORES VOLMAT S.R.L., CUIT N° 30-71456998-4, adjudicataria de los renglones Nros. 1 (parcial), 3 y 5 (parcial) del Rubro A de la Licitación Pública N° 14/2020.",Mayores Costos,
