accion,boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
promulga,#1226,21/05/2026,30/03/2026,Decreto,DECRE-2026-354-SI-INTEN,"Expediente N° 44-HCD-2026 - Promulgación Ordenanza Municipal N° 9423 ""Día Municipal del Niño por Nacer”.-",Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlNkc0d6MDM4b1l4VHh4NGIrekJLMGc9PSIsInZhbHVlIjoiR2dzYWc5a1l2clNLTGJFNlJKaGVyVEZ3dVVTWVptSS8yVDFCRmJZQURQOUxsU0pacDRDekEyTXllSUtDQm1kZCIsIm1hYyI6ImYwYTgzZTNjNjFlMWY2OWRjNDVjNWU5YzQxZjdlZmI0OTM3ZTQ4YmU3OTgwMDQwNjk2ZTMzMjk4ZDdkNTU2MWYiLCJ0YWciOiIifQ==
promulga,#1228,02/06/2026,22/04/2026,Decreto,DECRE-2026-455-SI-INTEN,Expediente Nº EX-2025-00242262-SI-SSMOV - Promulgación Ordenanza Municipal N° 9426.-,,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6Im8wQkRSZm5SaFcxWjYvOERjQmdiQ0E9PSIsInZhbHVlIjoiYzhFdkNxWUVObGRsWWJHdjlrUzNuM3VQUURqblQ5L20yQTVSR2tHYXBrWEExNUVteHg2TnFOVnRaWUF0aHJ0ayIsIm1hYyI6IjZjODYxMTQ5YTZmODJlYmQ1YzFmNDA5MjA1OGY2YWMxMmM2MzYzN2VkNzJhYTUyMjdmMjdhMmE1Nzc1ZmEyYzIiLCJ0YWciOiIifQ==
promulga,#1228,02/06/2026,22/04/2026,Decreto,DECRE-2026-457-SI-INTEN,Expediente N° EX-2025-00083342-SI-SSMOV - Promulgación Ordenanza Municipal N° 9427.-,,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlpuZmw1VGg4M29zdjdxdERtOG5IR3c9PSIsInZhbHVlIjoibUttVUU5citoRkllMWgrenM4eWlaakU2aEZHdU10cFFkNmp3SEVFNEJwQ1dWQkhqaUdyTUZjWlpFKzdGMXNjeiIsIm1hYyI6Ijk1Mzc2MjE0Mjg1NjQ3YzRhZjkyZDAzNTg4YzI1M2VjMzUxYjQ4YjhjOGM4Y2FmYjVlYTA1MzJmNjBlMzVkM2QiLCJ0YWciOiIifQ==
promulga,#1228,02/06/2026,22/04/2026,Decreto,DECRE-2026-458-SI-INTEN,Expediente Nº EX-2026-00065385-SI-DDS - Promulgación Ordenanza Municipal N° 9425.-,,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkIrSmh1RUFhMDZ0K29yaXAwbEpKcEE9PSIsInZhbHVlIjoiYWRsN2hSMEpyWHFkcllUNDA0bjhycHZzbmhsN1FpMUNQc2dOWUZrdTU4c1MxdGJzVFYwVkdsMDREdU1hcVhpSyIsIm1hYyI6IjUzZTFjMGY5MTk3YzIyZmUyMjJjYTRmMGQyYTc5ZDBjNDYwZjhhOWVkZDU5ODBmMWVlZDViYzU4NDZlMDQ5ZDEiLCJ0YWciOiIifQ==
promulga,#1228,02/06/2026,22/04/2026,Decreto,DECRE-2026-459-SI-INTEN,Expediente N° 9284/2024 - Promulgación Ordenanza Municipal N° 9424 (Aceptación Donación de la empresa Pfizer S.R.L.).--,,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjFpYk5Id2doZm5vVHk1eDB0amlNSXc9PSIsInZhbHVlIjoiRWNPU003Z2lvZmUrMnVnQ3FZME4xSDFRTHRaWTRiTS83a1NQQ2hCdVY3L09MZjM1bng5aHR1RFh5dWx1YTFucyIsIm1hYyI6IjgyMmM0YTMxODg4MDdiNzg5M2ExNzVhYjE5NmZmMjM2ODEwNjNlNGEwZDVmYzMwMzRkMzE0MjZkYjBlNmIyZWIiLCJ0YWciOiIifQ==
promulga,#1228,02/06/2026,22/04/2026,Decreto,DECRE-2026-465-SI-INTEN,Expediente Nº EX-2026-00083067-SI-SECPDU - Promulgación Ordenanza Municipal N° 9430.-,,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlRJZTY4bXJkUlpEcUIzcEZLZlE4QWc9PSIsInZhbHVlIjoibDBxWXNrVzZZZXlNQ1gxenFPZC9kaHl1dVd0SW9TdGhySzh1UVEzWC9wZlBEcTVPTHAzZ2FrbHdNbXdkK0lBQSIsIm1hYyI6ImNmMzI5OGNlODYwMDEwOGFlYzgyYzlhNWMzNjM5ZjY4ZGQ5YjEwNTkzNDg2YzA0MGQ3N2MyMTJkMGEyNTZjZDkiLCJ0YWciOiIifQ==
promulga,#1230,06/07/2026,05/05/2026,Decreto,DECRE-2026-507-SI-INTEN,Expediente N° EX-2026-00065370-SI-DDS - Promulgación Ordenanza Municipal N° 9428 (legítimo abono Carlos Alberto Maldotti).-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjNKUWhRMWZYajBWYUp0WDFCbHFseXc9PSIsInZhbHVlIjoiWG5HVklSOHJZaU5yOTJjNjNYQnFXZG5aM2NWblBLdHlMdXNRZXhRNHk2RU1CRGdFcXpmcmZqL1JsSVQ2anRyNiIsIm1hYyI6Ijk0ZDk5MDk2OTM4NGQ4OGIzYzg4ZDYwMjY0MDU5MDZlNWE1ZmVkMTMzZmU3MGM4MGVjODVhMjhjYTFhM2Q3ZmUiLCJ0YWciOiIifQ==
promulga,#1230,06/07/2026,05/05/2026,Decreto,DECRE-2026-508-SI-INTEN,Expediente N° EX-2026-00065387-SI-DDS - Promulgación Ordenanza Municipal N° 9429 (Legítimo abono María Passarini).-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkNrcGhiTE9zMGpGUStya29UZkpwM2c9PSIsInZhbHVlIjoic0pxVmFEOTdCcmw3U1BmVjRQeEloUUNDTHl0RlBRN242ZzcrWEtoVGdSZzQvYStNYlJkWWN1VXA1LzUvb3lyciIsIm1hYyI6IjAzMjAxMDI5MGFmMGYyZTg5Y2VmZGE4MjlkMTNhNDkzOTNmNDQ4NGVjNTM4NGZhNmQ4ODI5MTM1ZjExOGQyYTYiLCJ0YWciOiIifQ==
promulga,#1231,17/07/2026,19/05/2026,Decreto,DECRE-2026-564-SI-INTEN,Expediente Nº 6089/2011 (Cuerpo 2) - Promulgación Ordenanza Municipal N° 9433.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkRFMWplK3I4bkMrUHg2ak1tTU5qemc9PSIsInZhbHVlIjoiSDJoWFRlMEJTQ2hDRzJ4T3dFQ2NPK1VsUTFzM1Q2d01qOVJHWWJLSVBJMEtxUkR5eEN5aWp4cGhaeHFHdjh3bCIsIm1hYyI6IjNkNTEzMjdjZTBlODJhNjAxYTNiNjc4MWE3MDZmNTRlODBlMmMxMzI3ZDRmY2IxMWY2MTg0ODNmZTY5YjM2ZDgiLCJ0YWciOiIifQ==
promulga,#1226,21/05/2026,20/05/2026,Decreto,DECRE-2026-570-SI-INTEN,Expediente N° 248/2026 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9435.-,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjZzd3NEbjlIZWp2VmJINldreUh6Unc9PSIsInZhbHVlIjoiSVZpYXRCRGJTY3ZQSm1IcUt5MFlzcEFsa29QWlZSV2NwVjM5QzZtbTRXaDRWd3ZmdmRkYXhvckFQby9HVmVPWiIsIm1hYyI6IjQyYjA5NTMzNDMxNTU5ZTdjNTgyZjE3ZTMxMzMyNzg0N2ZlZTMyNDc5NjU3M2FlOWRjYTllYWI4NDQ3MDA1MDMiLCJ0YWciOiIifQ==
