INVENTARIO DE DESCARGAS
Fecha de descarga: 2026-09-04 00:14

ARCHIVO                                                                       BYTES  URL DE ORIGEN
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2024_i_gastos_por_fyf.pdf       227744  https://www.sanisidro.gob.ar/sites/default/files/img/2024_i_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2024_ii_gastos_por_fyf.pdf       218640  https://www.sanisidro.gob.ar/sites/default/files/img/2024_ii_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2024_iii_gastos_por_fyf.pdf       218604  https://www.sanisidro.gob.ar/sites/default/files/img/2024_iii_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2024_iv_gastos_por_fyf_-_anual.pdf       228517  https://www.sanisidro.gob.ar/sites/default/files/img/2024_iv_gastos_por_fyf_-_anual.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2025_i_gastos_por_fyf.pdf       224073  https://www.sanisidro.gob.ar/sites/default/files/img/2025_i_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2025_ii_gastos_por_fyf.pdf       231703  https://www.sanisidro.gob.ar/sites/default/files/img/2025_ii_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2025_iii_gastos_por_fyf.pdf       231069  https://www.sanisidro.gob.ar/sites/default/files/img/2025_iii_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2025_iii_gastos_por_fyf_0.pdf       231069  https://www.sanisidro.gob.ar/sites/default/files/img/2025_iii_gastos_por_fyf_0.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2025_iv_gastos_por_fyf.pdf       232443  https://www.sanisidro.gob.ar/sites/default/files/img/2025_iv_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2026_i_gastos_por_fyf.pdf       226351  https://www.sanisidro.gob.ar/sites/default/files/img/2026_i_gastos_por_fyf.pdf
sanisidro_transparencia/gastos_por_finalidad_y_funcion/2026_ii_gastos_por_fyf.pdf       232030  https://www.sanisidro.gob.ar/sites/default/files/img/2026_ii_gastos_por_fyf.pdf
----------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL: 89 archivos, 87.3 MB

# ---------------------------------------------------------------------------
# CENSO 2022. No lo bajo el worker de Chrome: lo bajo 03_scripts/censo_radios.py.
# La geometria de los radios es un ZIP del catalogo de datos de la Provincia.
