expediente,anio,bloque,tipo_proyecto,tema
148-HCD-2024,2024,varios senores concejales,comunicacion,"si un informe relacionado con la obra de pavimentacion de la calle int. neyer, entre la calle alvarado y la av. rolon, de la ciudad de beccar.-"
149-HCD-2024,2024,union por la patria,ordenanza,adhiriendo a la ley provincial n° 10.471.-
150-HCD-2024,2024,union por la patria,comunicacion,si la instalacion de puestos de control de alcoholemia en las principales avenidas del partido.-
152-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. expresa eu repudio y preocupacion frente a las amenazas, insultos y agravios de las que fueron victimas el juez del tribunal de faltas, dr. andres rolon y el inspector municipal, damian aon.-"
153-HCD-2024,2024,varios senores concejales,ordenanza,"implementando un plan de urgencia para la puesta en valor de la reserva natural municipal ""refugio educativo de la ribera norte"".-"
154-HCD-2024,2024,varios senores concejales,comunicacion,"si la habilitacion de un sector de estacionamiento exclusivo para transporte de pasajeros automotor de empresas de turismo sobre la calle belgrano, entre la av. del libertador y la calle luis vernet los dias sabados, domingos y feriados.-"
155-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. declara de interes la ong ""arte y esperanza"".-"
156-HCD-2024,2024,union por la patria,comunicacion,"si incluir en el portal del turismo oficial y la oferta de la oficina de turismo local, un circuito de arte urbano sobre murales y graffitis.-"
157-HCD-2024,2024,varlos senores concejales,ordenanza,creando el ente mixto de turismo de san isidro.-
158-HCD-2024,2024,varios senores concejales,comunicacion,si la definicion de una estrategia para participar en la feria internacional de turismo de america latina edicion 2024.-
159-HCD-2024,2024,union por la patria,comunicacion,si un informe relacionado con los trabajadores municipales.-
160-HCD-2024,2024,la libertad avanza,comunicacion,si crear el fondo de seguridad utilizando los ingresos por la realizacion del festival lollapalooza.-
161-HCD-2024,2024,la libertad avanza,comunicacion,"si la reparacion de la luminaria en la calle roma n° 1815, entre las calles gervasio posadas y jose ingenieros, de la ciudad de beccar.-"
162-HCD-2024,2024,la lmertad avanza,resolucion,"el h.c.d. declara de interes el ""curso de historia de san isidro 2024"" del instituto historico municipal-"
163-HCD-2024,2024,..- bloque la libertad avanza,comunicacion,"si un informe relacionado a la situacion que atraviesa la escuela secundaria n° 8 ""dr. antonio sagarna"" ante la problematica de ausencias y falta de suplentes.-"
164-HCD-2024,2024,la libertad avanza,resolucion,"el h.c.d. declara de interes la ""diplomatura en cultura argentina"" del instituto de cultura cudes, que celebra su 10° aniversario.-"
165-HCD-2024,2024,la libertad avanza,comunicacion,si que se provea a cada concejal el mapa del delito a traves de la secretaria de seguridad del municipio.-
166-HCD-2024,2024,la libertad avanza,comunicacion,si un informe relacionado con los recursos del hospital materno infantil.-
167-HCD-2024,2024,la libertad avanza,comunicacion,"si la reparacion de veredas en la esquina de las calles pedro de mendoza y belgrano, en el bajo de san isidro.-"
168-HCD-2024,2024,vamos senores concejales,comunicacion,"si la recoleccion de troncos y ramas en la calle primera junta y 25 de mayo, de la ciudad de san isidro.-"
169-HCD-2024,2024,varios senores concejales,comunicacion,"si un informe relacionado a la plaza ""9 de julio"", de la ciudad de martinez.-"
170-HCD-2024,2024,varios senores concejales,comunicacion,"si tareas de limpieza en el barrio santa rita, de la ciudad de boulogne.-"
171-HCD-2024,2024,varios senores concejales,comunicacion,"si la recoleccion de troncos y ramas en la calle chacabuco hasta su interseccion con la calle martin y ornar, de la ciudad de san isidro.~"
172-HCD-2024,2024,union por la patria,resolucion,"el h.c.d. declara de interes el proyecto ""voces unidas contra el bullying: un puente trasoceanico de historias y soluciones"" del circulo italiano raices sardas buenos aires norte - sede san isidro.-"
173-HCD-2024,2024,union por la patria,ordenanza,creando el regimen de promocion industrial de bienes intangibles.-
174-HCD-2024,2024,bloqu.e union por la patria,comunicacion,"si la organizacion de la ""noche de las pancherias"" en el partido de san isidro.-"
175-HCD-2024,2024,union por la patria,comunicacion,si se arbitren las medidas necesarias para firmar un convenio entre el municipio y el jockey club para la apertura de una pista de ciclismo.-
176-HCD-2024,2024,union por la patria,comunicacion,"si la incorporacion de banos publicos de manera permanente en espacios verdes, plazas, costa del rio, hipodromo y centros comerciales en toda la extension del distrito.-"
177-HCD-2024,2024,union por la patria,comunicacion,"si la iniciacion de un plan de reparacion y construccion de rampas por etapas, hasta alcanzar todo el trazado urbano de san isidro.-"
178-HCD-2024,2024,union por la patria,ordenanza,creando una estrategia de turismo gastronomico local.-
179-HCD-2024,2024,union por la patria,decreto,"disponiendo la habilitacion del patio ubicado en la planta baja que conecta el h.c.d con el edificio historico municipal, para utilizarlo corno zona de descanso y area de fumadores.-"
182-HCD-2024,2024,varios senores concejales,comunicacion,si un amplio informe relacionado con el turismo local.-
183-HCD-2024,2024,",- bloque union por la patria",resolucion,el h.cd. repudia el desmedido y violento accionar policial contra un vendedor ambulante en el centro de san isidro.-
184-HCD-2024,2024,union por la patria,comunicacion,"si un amplio informe sobre las acciones llevadas a cabo por el personal policial, el dia 22 de abril de 2024, en donde se detuvo a un vendedor ambulante en la ciudad de san isidro.-"
187-HCD-2024,2024,varios senores concejales,ordenanza,"aplicando las capacitaciones con relacion a lo establecido por ""ley micaela bonaerense n° 15.134"".-"
188-HCD-2024,2024,pro san isidro,resolucion,"el h.cd. expresa ,:u repudio frente a la ineficiente proteccion de ninos y jovenes frente a las actividades de juegos de apuestas online y a la falta de responsabilidad del estado y las em?resas generadoras.c"
189-HCD-2024,2024,pro san isidro,comunicacion,"si la reparacion de la luminaria baja sita en la vereda de la av. del libertador n° 14.621, de este partido.-"
190-HCD-2024,2024,pro san isidro,comunicacion,"si la reparacion del cano saliente del cordon de la vereda sita en la calle manzone n° 1027, de este partido,-"
191-HCD-2024,2024,pro san isidro,ordenanza,"publicando el detalle de los beneficios y exenciones vigentes en la ordenanza fiscal para las personas con discapacidad, en el menu correspondiente al portal web de la agencia de recaudacion de san isidro.-"
193-HCD-2024,2024,varios senores concejales,ordenanza,"declarando el 02 de mayo de cada ano como el ""dia municipal de lucha contra el acoso escolar"".-"
194-HCD-2024,2024,varios senores concejales,comunicacion,s/ un informe relacionado con el ex campo de deportes y pista de atletismo de as.a.-
195-HCD-2024,2024,varios senores concejales,comunicacion,"s/ la reparacion de la vereda sita en la calle int. neyer, entre la av. andres rolon y la calle america, de la ciudad de beccar.-"
196-HCD-2024,2024,varios senores concejales,ordenanza,plantacion de arboles en aceras.-
197-HCD-2024,2024,varios senores concejales,decreto,convocando al departamento ejecutivo para que por intermedio de la jefatura de gabinete brinde un amplio informe en relacion a los primeros seis meses de gestion al hcd.-
198-HCD-2024,2024,varios senores concejales,comunicacion,"s/ la colocacion de contenedores para la disposicion de residuos en la calle luis maria drago al 2300, de la ciudad de villa adelina.-"
199-HCD-2024,2024,varios senores concejales,comunicacion,s/ evaluar la posibilidad de generar un fondo municipal para reemplazar el fondo de incentivo docente.-
202-HCD-2024,2024,varios senores concejales,decreto,"aplicando las capacitaciones con relacion a lo establecido por ""ley micaela bonaerense n° 15.134"".-"
203-HCD-2024,2024,varios senores concejales,comunicacion,"si la reparacion de la vereda y reconstruccion de la rampa de accesibilidad sita en la calle alsina '2squina con la calle garibaldi, de la ciudad de san isidro.-"
204-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. expresa preocupacion por la falta de actualizacion de los valores de las prestaciones compr'2ndidas en los programas provinciales sae y mesa.-
205-HCD-2024,2024,varios senores concejales,ordenanza,"creando el ""programa municipal de concientizacion, prevencion e informacion sobre acoso escolar"",,-"
206-HCD-2024,2024,la libertad avanza,comunicacion,si la construccion de un monumento a modo de reconocimiento al veterano sr. jose mauricio castillo por su heroismo y participacion en el conflicto de las islas malvinas.-
207-HCD-2024,2024,la libertad avanza,resolucion,"el h.c.d. declara de interes el documental ""1982: la gesta"".-"
208-HCD-2024,2024,la libertad avanza,comunicacion,"si la colocacion de semaforos con boton pulsador en las intersecciones de la calle camino real moron y sarratea, y camino real moron y junin, de la ciudad de boulogne.-"
209-HCD-2024,2024,la libertad avanza,comunicacion,"si establecer una posta policial permanente en la interseccion de las calles sarratea y camino real moron, en la ciudad de boulogne.-"
210-HCD-2024,2024,la libertad avanza,comunicacion,si al d.e. que exprese su repudio a las acciones sindicales que atentan contra el normal funcionamiento del ramal mitre a tigre.-
211-HCD-2024,2024,union por la patria,comunicacion,"si la colocacion de senalizacion vial correspondiente a escuelas en el jardin de infantes ""santo domingo savio"" de la ciudad de beccar.-"
212-HCD-2024,2024,union por la patria,comunicacion,si un informe relacionado con los empleados municipales.-
213-HCD-2024,2024,union por la patria,comunicacion,"si la pavimentacion de la calle edison en su interseccion con la calle hornos, de la ciudad de marl:inez.-"
214-HCD-2024,2024,union por la patria,decreto,convocando al director de la sede regional norte de la universidad de buenos aires y a la rectora de la universidad nacional scalabrini ortiz a exponer ante este honorable cuerpo la situacion presupuestaria de ambas instituciones.-
215-HCD-2024,2024,union por la patria,resolucion,el h.c.d. solicita el pronto tratamiento y sancion del proyecto de ley presentado en el congreso nacional para garantizar el cumplimiento de la carta organica del banco nacion.-
216-HCD-2024,2024,union por la patria,comunicacion,"si incluir en el portal del turismo oficial y la oferta de la oficina de turismo local, un circuito de turismo religioso local.-"
217-HCD-2024,2024,varios senores concejales,comunicacion,"si al departamento ejecutivo que inste al ministerio de seguridad de la prov. de buenos aires a que brinde un informe relacionado al operativo de seguridad llevado a cabo el dia 9 de abril del 2024, en la ciudad de san isidro.-"
218-HCD-2024,2024,union por la patria,comunicacion,"si intervenir ante las empresas aysa, edenor y naturgy s.a. para que se aplique la tarifa social de los servicios a los clubes de barrio, bibliotecas, centros de jubilados y demas entidades de trabajo social, comunitario y deportivo del par"
219-HCD-2024,2024,union por la patria,compnicacion,"si la reparacion de luminarias en la calle sarratea entre las intersecciones con las calles saturnino segurola y maestra vicenta ravello, de la ciudad de boulogne.-"
221-HCD-2024,2024,union por la patrla,comunicacion,"si un informe sobre el agrupamiento de contenedores que se encuentran en la calle sarratea, entre las calles maestra ravello y segurola, de la ciudad de boulogne.-"
222-HCD-2024,2024,la lffiertad avanza,comunicacion,"si un informe respecto a un cartel colocado en la obra sita en elcano n° 1850, de la ciudad de martinez.-"
223-HCD-2024,2024,la libertad avanza,comunicacion,"si la plantacion d,~arboles en el pasaje yerbal, esquina godoy cruz, del barrio santa rita, en la ciudad de boulogne.-"
224-HCD-2024,2024,la libertad avanza,comunicacion,"si la reparacion y mejora del alumbrado publico en la plaza situada en la calle yerbal y gorriti, de la ciudad de boulogne.-"
225-HCD-2024,2024,la libertad avanza,comunicacion,"si proveer de losmsumos necesarios a la cuadrilla de barrido y limpieza del barrio santa rita, de la ciudad de boulogne.-"
226-HCD-2024,2024,la libertad avanza,comunicacion,"si la reparacion de los baches ubicados en la calle colon, entre las calles pedro goyena y ricardo gutierrez, y en la calle rodriguez pena, entre av. santa fe y la calle tres sargentos, de la ciudad de martinez.-"
227-HCD-2024,2024,varios senores concejales,ordenanza,creando el programa municipal de reparacion de veredas.-
228-HCD-2024,2024,varios senores concejales,comunicacion,"si la instalacion de un semaforo en la interseccion de las calles . jose ingenieros y billinghurst, de la ciudad de beccar.-"
229-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con la situacion actual del crematorio de boulogne.-
230-HCD-2024,2024,varios senores concejales,ordenanza,"creando una campan.a preventiva disenada para concienciar sobre los riesgos asociados al juego en linea."""""
231-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. expresa su preocupacion por el aumento de las apuestas online de preadolescentes y adolescentes.-
233-HCD-2024,2024,convocacion por san isidro,resolucion,declarando de interes el programa de fortalecimiento institucional.-
234-HCD-2024,2024,convocacion por san isidro,resolucion,declarando de interes la labor social y comunitaria realizada por la organizacion sin fines de lucro techo.-
238-HCD-2024,2024,union por la patria,comunicacion,"si la colocacion de reductores de velocidad en la calle int. neyer altura 1200, de la ciudad de beccar.-"
240-HCD-2024,2024,varios senores concejales,ordenanza,creando el observatorio de seguimientos de casos de violencia institucional.-
241-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con la distribucion y asignacion de los tratamientos medicamentosos para pacientes de hiv en el municipio.-
242-HCD-2024,2024,varios senores concejales,resolucion,"estableciendo que el dia 17 de mayo de cada ano, se ilumine la fachada de este honorable concejo deliberante con los colores del arcoiris correspondientes al ""dia internacional contra la homofobia, transfobia y bifobia"".-"
243-HCD-2024,2024,varios senores concejales,comunicacion,si la construccion de una pista de atletismo en el distrito.-
244-HCD-2024,2024,varios senores concejales,resolucion,"el h.cd. de san isidro expresa su mas sincero reconocimiento y felicitacion al ""colegio san cayetano"" por cumplirse 60 anos de su fundacion.-"
245-HCD-2024,2024,union por la patria,comunicacion,"si la pavimentacion y reparacion del bache ubicado en la calle la calandria n° 1110, entre las calles pedernera y joaquin v. gonzalez, de la ciudad de villa adelina.-"
246-HCD-2024,2024,union por la patria,comunicacion,si reforzar la luminaria en todo el perimetro del barrio san isidro (basi) y sus calles internas.-
247-HCD-2024,2024,varios senores concejales,decreto,"disponiendo incluir en el sitio web del h.c.d. una seccion donde se informe sobre la historia, el patrimonio arquitectonico y cultural, el valor social y el origen del termino ""honorable"".-"
248-HCD-2024,2024,varios senores concejales,decreto,disponiendo las modificaciones pertinentes del reglamento interno y organizacion interna del h.c.d. para que en el inicio de todas las sesiones sea obligatorio entonar las estrofas del himno nacional argentino.-
249-HCD-2024,2024,varios senores concejales,ordenanza,"modificando los valores del coeficiente de mayor superficie de la valuacion fiscal de la tasa de alumbrado, barrido y limpieza de la ordenanza impositiva.-"
250-HCD-2024,2024,varios senores concejales,comunicacion,si informes relacionados al servicio del barrido y limpieza municipal.-
251-HCD-2024,2024,varios senores concejales,comunicacion,"si un informe relacionado al funcionamiento de la guardia del hospital materno infantil, respecto al servido de neurologia.-"
258-HCD-2024,2024,la libertad avanza,resolucion,"el h.cd. declara de interes el ""compromiso de mayo"" de la asociacion de emprendedores de argentina (asea) que propone la creacion de un millon de nuevos puestos de trabajo,-"
259-HCD-2024,2024,la libertad avanza,comunicacion,si la puesta en valor del parque publico dr. carlos arenaza de la ciudad de boulogne.-
260-HCD-2024,2024,blaque la libertad avanza,comunicacion,"si un informe sobre el estado de la quinta santa rita, de la ciudad de boulogne.-"
261-HCD-2024,2024,pro- san isidro,resolucion,el h.cd. expresa su preocupacion por las amenazas de edgardo llano que tuvieron como destinatar:os a varios senadores nacionales.-
262-HCD-2024,2024,union por la patria,comunicacion,"si realizar una campana de difusion destinada a los emprendimientos gastronomicos del distrito y hoteles de adhesion al programa ""viaja+ con bna"" del banco nacion de la republica argentina.-"
265-HCD-2024,2024,la libertad avanza,comunicacion,"s! un informe relacionado con la obra de la calle 25 de mayo y almte. brown, de la ciudad de san i:3idro.-"
266-HCD-2024,2024,la libertad avanza,comunicacion,s! los insumas necesarios para la realizacion del trabajo de las cuadrillas de barrenderos.-
267-HCD-2024,2024,pro - san isidro,resolucion,"el h.cd. felicita a la organizacion de voluntarias comprometidas en el acompanamiento a la comunidad hospitalaria ""damas rosadas"" por sus 65 anos de invaluable labor.-"
268-HCD-2024,2024,la libertad avanza,resolucion,"el h.cd. expresa su energico repudio y manifiesta preocupacion: por las amenazas, insultos y violencia por parte de una militante de union por la patria a la periodista paula bernini.-"
269-HCD-2024,2024,la libertad avanza,comunicacion,s! un informe relacionado con la sra. carolina cabrera.-
270-HCD-2024,2024,union por la patria,comunicacion,s! reforzar la luminaria en diversos puntos del distrito.-
271-HCD-2024,2024,varios senores concejales,resolucion,"el h.cd. manifiesta su preocupacion ante el proyecto ""ley bases y puntos de partida para la libertad de los argentinos"".-"
272-HCD-2024,2024,varios senores concejales,comunicacion,"s! un informe relacionado con el operativo ocurrido el sabado 3 de mayo en el barrio la cava, de la ciudad de beccar.-"
273-HCD-2024,2024,varios senores concejales,resolucion,el h.cd. expresa su profunda preocupacion ante los crimenes y discursos de odio que atentan contra el bienestar de la comunidad lgbti+.-
274-HCD-2024,2024,convocacion por san isidro,decreto,"implemen::ando en el h.cd. el programa de ""h.cd. sustentable"" .-"
275-HCD-2024,2024,varios senores concejales,ordenanza,"creando el programa de ""corredores educativos seguros para campos de deporte"".-"
276-HCD-2024,2024,varios senores concejales,decreto,convocando a exponer ante este cuerpo a la asociacion argentina de kite.-
277-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con el estado general de las obras publicas dependientes del gobierno l\jacional en el distrito.-
278-HCD-2024,2024,union por la patria,comunicacion,si un informe relacionado al estado actual del proyecto de la plaza de olazabal de la ciudad de boulogne.-
279-HCD-2024,2024,union por la patria,ordenanza,"creando el programa ""san isidro libre de gluten"".-"
280-HCD-2024,2024,union por la patria,comunicacion,"si la reparacion de veredas que circundan el barrio san isidro (basi), de la ciudad de boulogne.-"
281-HCD-2024,2024,union por la patria,ordenanza,"colocando tendido de fibra optica en el barrio san isidro (basi), de la ciudad de boulogne.-"
282-HCD-2024,2024,union por la patria,comunicacion,si un informe relacionado con el programa de personas en situacion de calle.-
283-HCD-2024,2024,convocacion por san isidro,decreto,"el h.cd. declara de interes la labor que lleva a cabo la organizacion sin fines de lucro ""las lomas oral"".-"
284-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. expre1;a su beneplacito por la realizacion de la ""diplomatura en neuropsicogermltologia aplicada"" que tendra lugar en hi universidad de san isidro.-"
293-HCD-2024,2024,varios senores concejales,comunicacion,"si la colocacion de luminarias y la reparacion de las ya existentes dentro del predio del parque publico del golf de villa adelina, de este partido.-"
294-HCD-2024,2024,varios senores concejales,comunicacion,si incluir al parque publico del golf de villa adelina en el sitio web del municipio en el desplegable de areas protegidas y en el denominado identidad.-
295-HCD-2024,2024,varios senores concejales,comunicacion,si la colocacion de mosquiteros en la casa de cultura que se encuentra dentro del predio del parque publico del golf de villa adelina.-
296-HCD-2024,2024,varios senores concejales,comunicacion,si la realizacion de un reempadronamiento de socios de puerto libre.-
297-HCD-2024,2024,varios senores concejales,comunicacion,"si un informe relacionado con el hospital central de san isidro ""dr. melchor angel posse"".-"
298-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con los horarios de atencion de la tesoreria municipal.-
299-HCD-2024,2024,varios senores concejales,resolucion,"declarando la emergencia social, economica y en materia de seguridad en los barrios populares del partido.-"
302-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado a las competencias de la nueva subsecretaria de proyectos urbanok
303-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con la inclusion en el ambito laboral de personas con discapacidad.-
304-HCD-2024,2024,varios senores concejales,comunicacion,si que se garantice el correcto cumplimiento de la ordenanza n° 9077.-
305-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. de san isidro manifiesta su preocupacion ante la modificacion establecida en el artkulo 1 de la resolucion n° 67/2024 del ejecutivo nacional-
306-HCD-2024,2024,varios senores concejales,comunicacion,el h.c.d. de san isidro manifiesta su preocupacion por la demora y falta de pago en la asignacion economica establecida en la ley nacional n° 27.364.-
307-HCD-2024,2024,union por la .patria,resolucion,"el h.c.d. de san isidro manifiesta su preocupacion por el acto reivindicatorio del accionar de la marina, en el marco del dia de la armada llevado a cabo en la ex esma por egresad05 de la escuela mecanica de la armada.-"
308-HCD-2024,2024,varios senores concejales,comunicacion,"si la reparadon del pozo ubicado en la vereda de la calle ipiranga al 99, de la ciudad de boulogne.-"
309-HCD-2024,2024,varios senores concejales,comunicacion,"si la reparacion del pozo ubicado en la vereda de la calle maestro santana, en su interseccion con la calle uruguay, de la ciudad de beccar.-"
310-HCD-2024,2024,varios senores concejales,ordenanza,"instalando camaras y domos de vigilancia en las calles jose maria moreno, entre thames y gorriti, de .laciudad de boulogne.-"
311-HCD-2024,2024,union por la patria,ordenanza,"adhiriendo a la ley nacional n°27.709 denominada ""ley lucio"".-"
312-HCD-2024,2024,union por la patria,comunicacion,"si la colocacion de reductores de velocidad en la calle junin n°1500, de la ciudad de boulogne.-"
313-HCD-2024,2024,varios senores concejales,comunicacion,si informes relacionados al servicio de castracion llevado a cabo por la direccion de zoonosis del municipio de san isidro.-
314-HCD-2024,2024,varios senores concejales,ordenanza,creando un programa integral de salud mental especializado en adicciones.-
315-HCD-2024,2024,varios senores concejales,comunicacion,"si intensificar las tareas de barrido, limpieza, higiene y recoleccion de basura en la calle malabia, de la ciudad de boulogne.-"
317-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d de san isidro expresa su beneplacito y congratulaciones por la realizacion de las elecciones en el centro de estudiantes de la escuela media n° 8 ""dr. antonio sagarna"".-"
319-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con los hospitales municipales.-
321-HCD-2024,2024,la libertad avanza,ordenanza,"declarando corno' ""personalidad destacada del partido de san isidro"" a la editora adriana hidalgo sola por su destacada labor editorial y aporte a la cultura y literatura nacional.-"
322-HCD-2024,2024,v arios senores concejales,ordenanza,creando el registro unico de podadores urbanos.-
323-HCD-2024,2024,varios senores concejales,comunicacion,"si un informe relacionado con el ciclo de eventos denominado ""mi barrio de fiesta"".-"
324-HCD-2024,2024,varios senores concejales,decreto,estableciendo un cronograma en el cual el jefe de gabinete concurra a esta honorable casa en un lapso que no supere los 4 meses entre cada visita.-
325-HCD-2024,2024,varios senores concejales,comunicacion,si un informe relacionado con las funciones de la jefatura de gabinete.-
326-HCD-2024,2024,varios senores concejales,decreto,estableciendo un cronograma en el cual los secretarios del departamento ejecutivo concurran a esta honorable casa en un lapso que no supere los 4 meses entre cada visita.-
327-HCD-2024,2024,union por la patria,resolucion,el honorable concejo deliberante expresa su repudio por el anuncio del recorte de personal del instituto nacional de tecnologia industrial (inti).-
328-HCD-2024,2024,varios senores concejales,ordenanza,disponiendo la obligatoriedad de emitir las facturas de las tasas municipales en forma mensual.-
