expediente,anio,bloque,tipo_proyecto,tema
746-HCD-2018,2018,pro san isidro - cambiemos,comunicacion,si ad;lerlr a la ley provincial n° 13.994.-
747-HCD-2018,2018,pro san isidro - cambiemos,comunicacion,"si la construccion y reparacion de rampas de accesibilidad en la calle jose hernandez, entre la calle victoria aguirre y la avda. libertador, de este partido.-"
748-HCD-2018,2018,pro san isidro - cambiemos,comunicacion,"si la colocacion de un reductor de velocidad en la calle jose e. rodo, entre las calles ing. marconi y julian navarro, de la ciudad de beccar.-"
753-HCD-2018,2018,convocacion por san isidro,comunicacion,05/ al consejo escolar diversas obras en escuelas del partido.-
754-HCD-2018,2018,convocacion por san isidro,comunicacion,"05/ refugio para pasajeros y luminarias de baja altura en las calles gral. guido, ing. marconi y uruguay, de la ciudad de beccar.-"
756-HCD-2018,2018,convocacion por san isidro,comunicacion,"05/ un informe relacionado al desempeno del punto verde ubicado en la calle dardo rocha al 300, de la localidad de acassuso.-"
757-HCD-2018,2018,convocacion por san isidro,comunicacion,"05/ convertir en sentido unico de circulacion vehicular a la calle gral lamadrid, desde avda. de mayo hasta la calle parana, de este partido.-"
758-HCD-2018,2018,convocacion por san isidro,comunicacion,"05/ informes relacionados con el proyecto de urbanizacion especial denominado ""barrancas de alvear"", de la ciudad de martinez"
759-HCD-2018,2018,convocacion por san isidro,comunicacion,05/ coordine obras para que una vez realizado el recorte de raices se proceda a la reparacion de las veredas.-
763-HCD-2018,2018,partido justicialista,ordenanza,"prohibiendo a todos los comercios o locales que provean el servicio de credito virtual, aplicar e imponer el cobro de un cargo adicional, al prestar dicho servicio,-"
768-HCD-2018,2018,unidad ciudadana,comunicacion,si solucionar diversas problematicas para el barrio uruguay.-
769-HCD-2018,2018,unidad ciudadana,comunicacion,"si informes relacionados al barrio martin y ornar, de este partido.-"
773-HCD-2018,2018,unidad ciudadana,comnicacion,"si un informe respecto al barrio uruguay, de la ciudad de beccar.-"
774-HCD-2018,2018,unidad ciudadana,comnicacion,si senalizacion con una estrella amarilla donde tuviera ocasion el fatal accidente de malena albornoz.-
775-HCD-2018,2018,unidad ciudadana,comnicacion,si informes relacionados con la linea 107.-
776-HCD-2018,2018,unidad ciudadana,comnicacion,si la posibilidad de incorporar un servicio de guardia medica en el centro de atencion primaria y promocion de villa adelina.-
777-HCD-2018,2018,unidad ciudadana,resolucion,el h.c.d. expresa su repudio a los dichos de la ministra de seguridad patricia bullrich.-
779-HCD-2018,2018,unidad ciudadana,comnicacion,"si la realizacion de obras para la construccion de una plaza integradora dentro de la escuela especial nº 501, de la ciudad de martinez.-"
780-HCD-2018,2018,unidad ciudadana,comnicacion,si establecer una unidad de desarrollo infantil en el isfd y t nº 52.-
782-HCD-2018,2018,unidad ciudadana,comnicacion,"si la reparacion de la vereda y puesta en' valor del arbol del espacio donde se encuentra el arbol historico ubicado en la av. andres rolon, entre las calles gral. guido y manuela carcia, de la ciudad de beccar"
784-HCD-2018,2018,unidad ciudadana,comnicacion,si implementar en el distrito la primera escuela de educacion de estetica.-
785-HCD-2018,2018,unidad ciudadana,comnicacion,si informes referente a los tres hospitales municipales del distrito.-
787-HCD-2018,2018,unidad ciudadana,ordenanza,"todo club o instalacion barrial en la que practiquen deportes, ninos, ninas y adolescentes debera contar con una ficha clinica deportiva.-"
788-HCD-2018,2018,unidad ciudadana,comunicacion,si al ministerio de educacion de la pcia. de bs.as. una sede unica para el instituto superior de formacion docente y tecnica nº 52.-
789-HCD-2018,2018,unidad ciudadana,comunicacion,si rampas de accesibilidad y salida de emergencias dentro de la escuela especial nº 501 yel centro de formacion laboral de martinez.-
791-HCD-2018,2018,unidad ciudadana,comunicacion,si la reparacion del ventanal que se encuentra en la guardia del hospital central de san isidro.-
792-HCD-2018,2018,unidad ciudadana,ordenanza,adhiriendo a la ley nacional nº 27.453.-
793-HCD-2018,2018,unidad ciudadana,comunicacion,"si un informe sobre la situacion de la calle cerrada que se encuentra en la circunscripcion 7, sector c, fraccion 1, manzana 093, de la ciudad de san isidro.-"
795-HCD-2018,2018,unidad ciudadana,comunicacion,si un amplio inferme relacionado con atencion odontologica para personas con discapacidad.-
796-HCD-2018,2018,unidad ciudadana,comunicacion,"si un informar en que situacion se encuentran las gestiones realizadas ante la agencia nacional de discapacidad, frente a la falta de pago a todos los prestadores.-"
797-HCD-2018,2018,unidad ciudadana,ordenanza,si se reconozca a los detenidos y detenidas en la dictadura.-
798-HCD-2018,2018,unidad ciudadana,resolucion,el h.cd. adhiere al dia internacional de las personas con discapacidad.-
801-HCD-2018,2018,unidad ciudadana,comunicacion,si un informe relacionado al estacionamiento tarifado en los espacios publicos del partido.-
803-HCD-2018,2018,unidad ciudadana,ordenanza,"si senalizacion de estacionamiento al vecino con modalidad reducida domiciliado en la avda. b. marquez nº 869, el partido.-"
22-HCD-2019,2019,unidad ciudadana,comunciacion,"s/ la colocacion de camaras y/o domo de seguridad en la interseccion de las calles dardo rocha y garcia moreu, de la ciudad de martinez.-"
23-HCD-2019,2019,unidad ciudadana,comunciacion,s/ reductores de velocidad en diversas calles de la ciudad de boulogne.-
24-HCD-2019,2019,unidad ciudadana,comunciacion,s/ diversos informes relacionados con los tres hospitales municipales.-
25-HCD-2019,2019,unidad cludadana,ordenanza,"creando la ""comision especial de seguimiento para el desarrollo del ciclo lectivo 2019"".-"
26-HCD-2019,2019,unidad ciudadana,comunciacion,"s/ el control del transito vehicular en los horarios de entrada y salida de la escuela n° 26 y el jardin de infantes n° 907, del bajo de san isidro.-"
27-HCD-2019,2019,u ljdad ciudadana,resolucion,el h.cd. expresa su repudio ante la decision de la gobernadora de efectuar despidos que ponen en riesgo cursos de capacitacion a los que acceden los maestros.-
28-HCD-2019,2019,unidad ciudadana,resolucion,el h.c.d. expresa su preocupacion ante la decision del gobierno nacional de congelar los montos para becas progresar 2019.-
36-HCD-2019,2019,partido justicia llsta,ordenanza,"creando el ""hospital veterinario municipal"".-"
37-HCD-2019,2019,partido justicia llsta,ordenanza,"creando el programa ""caminando juntas"".-"
38-HCD-2019,2019,partido justicia llsta,comunicacion,"s/ el recambio de contendores en el barrio ""el sauce"", de la ciudad de beccar, acortando el tiempo de frecuencia para la recoleccion de los mismos.-"
39-HCD-2019,2019,partido justiciallsta,ordenanza,estableciendo como tiempo perentorio de 30 dias a toda solicitud de informes al departamento ejecutivo.-
40-HCD-2019,2019,partido justicia llsta,comunicacion,"s/ la puesta en valor del espacio sito en la calle nuestras malvinas, entre las calles luis maria campos y camino real moron, de la ciudad de beccar.-"
41-HCD-2019,2019,partido justiciallsta,comunicacion,"s/ la realizacion de campanas perentorias a nivel salud, en la zona del bajo boulogne, de este partido.-"
42-HCD-2019,2019,partido justicia llsta,comunicacion,"s/ la pavimentacion de la calle almirante betbeder, entre las calles nuestras malvinas y maestra rueda, de la ciudad de boulogne.-"
43-HCD-2019,2019,partido justiciallst a,comunicacion,"s/ se realice una limpieza del barrio santa ana, de la ciudad de boulogne.-"
44-HCD-2019,2019,partido justicia llsta,comunicacion,'s/ la erradicacion del deposito vehicular del poder judicial existente en la ciudad de boulogne.-
46-HCD-2019,2019,unidad ciudadana,resolucion,el h.c.d. felicita a abigail chaves por sus logros alcanzados tanto en la actividad deportiva como en la lucha laboral por la profesionalizacion del futbol femenino.-
47-HCD-2019,2019,unidad ciudadana,comunicacion,si diversos informes relacionados con amenazas de bombas en el partido.-
48-HCD-2019,2019,unidad ciudadana,comunicacion,si un informe relacionado con el hospital central de san isidro.-
51-HCD-2019,2019,union civica - cambiemos,resolucion,el h.c.d. felicita a maria del rocio pereyra por su clasificacion al mundial de taekwondo ift.-
52-HCD-2019,2019,unidad ciudadana,comunicacion,"si la instalacion de camaras de seguridad en la interseccion de las calles hipolito yrigoyen y santo domingo, de la ciudad de martinez.-"
53-HCD-2019,2019,unidad ciudadana,comunicacion,"si un informe relacionado con el ""registro de entidades de bien publico"".-"
54-HCD-2019,2019,unidad ciudadana,comunicacion,"s/ un informe relacionado con la obra del paso bajo nivel en la avda. sarratea, de este partido.-"
55-HCD-2019,2019,unidad ciudadana,ordenanza,"estipulando el dia 2 de abril como ""dia por la conciencia del au tismo"".-"
56-HCD-2019,2019,partido justicialista,ordenanza,adhiriendo en todos sus terminos a la ley nacional n° 27.499 y al decreto reglamentario n° 38/2019.-
57-HCD-2019,2019,partido justicia lista,ordenanza,"creando el ""programa de capacitacion de promotoras y promotores en genero ""micaela garcia"".-"
58-HCD-2019,2019,unidad ciudadana,comunicacion,s/ la remision de una copia del plan maestro de obras hidraulicas del partido.-
59-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ la repavimentacion y/o bacheo de la calle alte. betbeder, desde la calle gdor. arana hasta la calle paraguay, de la ciudad de boulogne.-"
60-HCD-2019,2019,convocacion por san isidro,resolucion,el h.c.d. declara su preocupacion por las obras del tunel de sarratea.-
61-HCD-2019,2019,convocacion por san isidro,ordenanza,creando la comision vecinal de fiscalizacion para la obra del tunel sarratea.-
62-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ un informe relacionado con la obra en construccion sobre la avda. fleming al 2481/97, de este partido.-"
63-HCD-2019,2019,convocacion por san isidro,comunicacion,s/ un informe sobre el servicio de transporte en barco de san isidro a puerto madero.-
64-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ un informe relacionado con la obra del cruce bajo nivel sarratea, de este partido.-"
65-HCD-2019,2019,convocacion por san isidro,comunicacion,s/ un informe relacionado con el cumplimiento de la ley provincial n° 12.276.-
66-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ un informe relacionado con la poda de tipas sobre la avda. del libertador, de este partido.-"
67-HCD-2019,2019,"unidad, ciudadana",comunicacion,s/ brindar medidas de seguridad en el barrio puerto de san isidro.-
68-HCD-2019,2019,unidad ciudadana,comunicacion,".s/ un informe relacionado al denominado ""paseo del tren de la costa"".-"
69-HCD-2019,2019,unidad ciudadana,comunicacion,s/ un informe relacionado con las reiteradas llamadas de amenazas de bomba en el hospital central de san isidro.-
70-HCD-2019,2019,unidad ciudadana,resolucion,el h.c.d. expresa su beneplacito ante la reglamentacion de la liga profesional femenina de futbol.-
71-HCD-2019,2019,"unidad ciudadana,",comunicacion,"s/ un informe relacionado con las acciones de visibilizacion a tomar por la ""semana mundial del parto respetado"".-"
72-HCD-2019,2019,unidad ciudadana,resolucion,"el h.cd. adhiere al ""dia internacional de la eliminacion de la discriminacion racial"".-"
73-HCD-2019,2019,unidad cludadana,decreto,"el h.cd. declara de interes la comision por la memoria, la verdad y la justicia zona norte.-"
74-HCD-2019,2019,unidad ciudadana,comunicacion,"s/ la puesta en valor de la plaza delimitada por las calles l° de mayo, monsenor magliaro y cne], cetz, de este partido,-"
