anio,bloque,orden,concepto,medida,monto,fuente
2024,gastos_por_programa,1.1.1.01.06.000 - 71,II CONVENIO POTENCIAR TRABAJO II,devengado,3272320.00,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.07.000 - 24,"CONSERVACION, SEÑALAM., Y CONST. DE LA V",devengado,8297309755.44,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.07.000 - 55,PROGRAMA DE CONST. Y REFACC. DE VIVIEND,devengado,53957755.67,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.07.000 - 56,ARGENTINA UNIDA POR INTEGRACION B. POPUL,devengado,15610387.00,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.07.000 - 66,RENABAP LA CAVA Y CAVA CHICA,devengado,17033529.35,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 25,BARRIDO Y LIMPIEZA DE CALLES,devengado,6836864877.41,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 26,RECOLECCION Y ELIMINACION DE RESIDUOS,devengado,35371184844.06,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 50,PARQUES Y PASEOS,devengado,3698842596.98,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 52,CONTROL DE VECTORES,devengado,157200489.71,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 54,ALUMBRADO PUBLICO,devengado,6860451765.02,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.08.000 - 60,POLITICA AMBIENTAL DE SAN ISIDRO,devengado,807105927.20,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 27,HOSPITAL CENTRAL DE SAN ISIDRO,devengado,29995349227.61,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 28,HOSPITAL MATERNO INFANTIL,devengado,11690605476.19,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 29,HOSPITAL CIUDAD DE BOULOGNE,devengado,5831001551.57,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 30,CENTROS DE ATENCION PRIMARIA,devengado,2819121912.74,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 45,PLAN NACER - SUMAR,devengado,60268444.00,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 56,CENTRO DE ESTIMULACION TEMPRANA,devengado,281590030.75,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.09.000 - 61,ZOONOSIS,devengado,242557791.90,sef_msi_-_2024.pdf
2024,gastos_por_programa,,Actividades Centrales,devengado,30610688993.06,sef_msi_-_2024.pdf
2024,gastos_por_programa,,Actividades Centrales,devengado,3408558963.71,sef_msi_-_2024.pdf
2024,gastos_por_programa,,Partidas no asignables a programas,devengado,7702833847.62,sef_msi_-_2024.pdf
2025,ahorro_inversion,I,ingresos_corrientes,oficial,301154665135.71,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,II,gastos_corrientes,oficial,251403592133.29,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,III,ahorro_corriente,oficial,49751073002.42,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,IV,recursos_de_capital,oficial,2030100797.22,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,V,gastos_de_capital,oficial,57832237847.26,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,VI,ingresos_totales,oficial,303184765932.93,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,VII,gastos_totales,oficial,309235829980.55,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,VIII,resultado_financiero,oficial,-6051064047.62,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,IX,fuentes_financieras,oficial,21119189472.52,situacion_economico_financiera_2025_anual.pdf
2025,ahorro_inversion,X,aplicaciones_financieras,oficial,15068125424.90,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,vigente,223501816834.00,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,devengado,243559603349.09,situacion_economico_financiera_2025_anual.pdf
2025,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,percibido,207565454181.72,situacion_economico_financiera_2025_anual.pdf
