anio,trimestre,fecha_corte,codigo,concepto,saldo,amortiz_ej1,intereses_ej1,amortiz_ej2,intereses_ej2,amortiz_ej3,intereses_ej3,amortiz_resto,intereses_resto,deuda_vencida_impaga,fuente,coef_deflactor,base_coef,monto_constante_dic2025,saldo_const_dic2025,amortiz_ej1_const_dic2025,intereses_ej1_const_dic2025,amortiz_ej2_const_dic2025,intereses_ej2_const_dic2025,amortiz_ej3_const_dic2025,intereses_ej3_const_dic2025,amortiz_resto_const_dic2025,intereses_resto_const_dic2025,deuda_vencida_impaga_const_dic2025
2024,IV,31/12/2024,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",0.00,0.00,0.00,,,,,,,,
2024,IV,31/12/2024,1.3,BANCOS,0.00,0.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",0.00,0.00,0.00,,,,,,,,
2024,IV,31/12/2024,1.4,EMPRESAS,314651248.00,314651248.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",413919818.22,413919818.22,413919818.22,,,,,,,,
2024,IV,31/12/2024,1.4.2,PROVEEDORES (CEAMSE) (***),314651248.00,314651248.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",413919818.22,413919818.22,413919818.22,,,,,,,,
2024,IV,31/12/2024,1.6,OTRAS DEUDAS,1055295304.00,0.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",1388227897.30,1388227897.30,0.00,,,,,,,,
2025,I,31/3/2025,1,DEUDA CONSOLIDADA,3554732361.00,2588973320.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",4307123991.01,4307123991.01,3136953212.28,,,,,,,,
2025,I,31/3/2025,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2372987424.00,2372987424.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",2875251925.12,2875251925.12,2875251925.12,,,,,,,,
2025,I,31/3/2025,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",287353469.63,287353469.63,287353469.63,,,,,,,,
2025,I,31/3/2025,1.1.3,I.P.S. (**),1547470137.00,1547470137.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",1875006350.85,1875006350.85,1875006350.85,,,,,,,,
2025,I,31/3/2025,1.1.4,I.O.M.A.(**),588360270.00,588360270.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",712892104.64,712892104.64,712892104.64,,,,,,,,
2025,I,31/3/2025,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",0.00,0.00,0.00,,,,,,,,
2025,I,31/3/2025,1.3,BANCOS,0.00,0.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",0.00,0.00,0.00,,,,,,,,
2025,I,31/3/2025,1.4,EMPRESAS,215985896.00,215985896.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",261701287.16,261701287.16,261701287.16,,,,,,,,
2025,I,31/3/2025,1.4.2,PROVEEDORES (CEAMSE) (***),215985896.00,215985896.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",261701287.16,261701287.16,261701287.16,,,,,,,,
2025,I,31/3/2025,1.6,OTRAS DEUDAS,965759042.00,0.00,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",1170170779.93,1170170779.93,0.00,,,,,,,,
2025,I,31/3/2025,2,Saldo de Deuda Flotante,6283302629.00,,,,,,,,,,2025_i_stock_de_deuda.pdf,1.21165915,"stock al 31/3/2025, indice de 2025-03",7613221122.65,7613221122.65,,,,,,,,,
2025,II,30/6/2025,1,DEUDA CONSOLIDADA,4067205428.00,3118738068.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",4648566484.51,4648566484.51,3564526433.08,,,,,,,,
2025,II,30/6/2025,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2743640652.00,2743640652.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",3135813080.06,3135813080.06,3135813080.06,,,,,,,,
2025,II,30/6/2025,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",271055932.71,271055932.71,271055932.71,,,,,,,,
2025,II,30/6/2025,1.1.3,I.P.S. (**),1800000699.00,1800000699.00,,,,,,,,,2025_ii_stock_de_deuda.pdf,1.14293870,"stock al 30/6/2025, indice de 2025-06",2057290458.91,2057290458.91,2057290458.91,,,,,,,,
