# Ejecución presupuestaria 2025 de 106 de los 135 municipios
# de la Provincia de Buenos Aires, del RAFAM provincial.
# Fuente: 01_raw/rafam_2025_106_municipios.csv (aportado, sin
# URL registrada en 01_raw/INVENTARIO.txt).
# Faltan 29 municipios. No se estima ninguno.
# pct_personal = gastos_en_personal_dev / total_presupuestario_dev
# pct_obra     = bienes_de_uso_dev      / total_presupuestario_dev
# puesto_personal: 1 = el que MENOS peso le da al personal.
# puesto_obra:     1 = el que MAS invierte en bienes de uso.
# mediana_pct_personal = 50.7427
# mediana_pct_obra     = 5.4397
municipio,seccion,total_presupuestario_dev,gastos_en_personal_dev,bienes_de_uso_dev,pct_personal,pct_obra,puesto_personal,puesto_obra,fuente
Saavedra,6,31744.0,20736.0,138.0,65.3226,0.4347,101,105,01_raw/rafam_2025_106_municipios.csv
Saladillo,7,26460.0,13528.0,1521.0,51.1262,5.7483,56,51,01_raw/rafam_2025_106_municipios.csv
Salliquelo,,12317.0,6741.0,92.0,54.7292,0.7469,75,102,01_raw/rafam_2025_106_municipios.csv
Salto,2,27343.0,14565.0,778.0,53.2677,2.8453,65,80,01_raw/rafam_2025_106_municipios.csv
San Andres de Giles,,26583.0,17147.0,2507.0,64.5036,9.4308,98,26,01_raw/rafam_2025_106_municipios.csv
San Antonio de Areco,2,28674.0,15259.0,376.0,53.2155,1.3113,64,96,01_raw/rafam_2025_106_municipios.csv
San Cayetano,5,16596.0,10871.0,524.0,65.5037,3.1574,102,76,01_raw/rafam_2025_106_municipios.csv
San Fernando,1,148932.0,50287.0,10229.0,33.7651,6.8682,16,42,01_raw/rafam_2025_106_municipios.csv
San Isidro,1,324304.0,111590.0,57816.0,34.4091,17.8277,20,4,01_raw/rafam_2025_106_municipios.csv
San Martin,,276003.0,150299.0,4040.0,54.4556,1.4638,73,94,01_raw/rafam_2025_106_municipios.csv
San Nicolas,,86015.0,12323.0,8445.0,14.3266,9.8181,1,22,01_raw/rafam_2025_106_municipios.csv
San Vicente,3,61268.0,24921.0,7759.0,40.6754,12.6640,32,10,01_raw/rafam_2025_106_municipios.csv
Suipacha,1,10964.0,5668.0,273.0,51.6965,2.4900,60,88,01_raw/rafam_2025_106_municipios.csv
Tandil,5,121267.0,40985.0,8755.0,33.7973,7.2196,17,38,01_raw/rafam_2025_106_municipios.csv
Tapalque,,22240.0,12228.0,424.0,54.9820,1.9065,77,90,01_raw/rafam_2025_106_municipios.csv
Tigre,1,400156.0,121733.0,45572.0,30.4214,11.3886,11,12,01_raw/rafam_2025_106_municipios.csv
Tornquist,6,33764.0,16601.0,2539.0,49.1678,7.5198,51,34,01_raw/rafam_2025_106_municipios.csv
Trenque Lauquen,4,61950.0,37417.0,5852.0,60.3987,9.4463,88,25,01_raw/rafam_2025_106_municipios.csv
Tres Arroyos,6,61193.0,17133.0,4112.0,27.9983,6.7197,8,44,01_raw/rafam_2025_106_municipios.csv
Tres Lomas,6,11568.0,6264.0,331.0,54.1494,2.8613,71,79,01_raw/rafam_2025_106_municipios.csv
Tres de Febrero,1,150745.0,41274.0,15393.0,27.3800,10.2113,7,19,01_raw/rafam_2025_106_municipios.csv
Vicente Lopez,1,318824.0,156183.0,23586.0,48.9872,7.3978,50,35,01_raw/rafam_2025_106_municipios.csv
Villa Gesell,5,44914.0,31008.0,1988.0,69.0386,4.4262,104,60,01_raw/rafam_2025_106_municipios.csv
Villarino,6,31282.0,17980.0,952.0,57.4771,3.0433,83,77,01_raw/rafam_2025_106_municipios.csv
Zarate,,91690.0,30939.0,3810.0,33.7430,4.1553,15,63,01_raw/rafam_2025_106_municipios.csv
