cca,partida,localidad,superficie_m2,iust,vub,tierra_hoy,tierra_B_igual_recaudacion,tierra_B_mas_7225M,tierra_A,lon,lat
097070B00000000000000000000000080000018000,097058251,Beccar,266.28,160,2844.0,294440,235260,258116,294440,-58.543031,-34.469879
097070B00000000000000000000000080000019000,097058252,Beccar,266.39,160,2844.0,294562,235357,258223,294562,-58.543079,-34.469794
097070B00000000000000000000000080000020000,097058253,Beccar,394.28,160,2844.0,435977,348348,382192,435977,-58.542847,-34.469836
097070B00000000000000000000000080000021000,097058254,Beccar,416.34,160,2844.0,460370,367838,403576,460370,-58.542756,-34.469791
097070B00000000000000000000000080000022000,097058255,Beccar,423.73,160,2844.0,468542,374368,410739,468542,-58.54265,-34.46976
097070B000000000000000000000001100B0010000,097077828,Beccar,338.61,160,90.0,374420,9467,10387,374420,-58.539925,-34.473508
097070B000000000000000000000001100B0011000,097077829,Beccar,288.47,160,90.0,318977,8065,8849,318977,-58.539994,-34.473411
097070B000000000000000000000001100B0012000,097077830,Beccar,308.57,160,90.0,341203,8627,9466,341203,-58.540059,-34.473318
097070B000000000000000000000001100B0013000,097077831,Beccar,293.32,160,90.0,324340,8201,8998,324340,-58.540125,-34.473225
097070B000000000000000000000001100B0014000,097077832,Beccar,293.73,160,90.0,324793,8212,9010,324793,-58.540191,-34.473132
097070B000000000000000000000001100B0015000,097077833,Beccar,328.04,160,90.0,362732,9172,10063,362732,-58.540261,-34.473033
097070B000000000000000000000001100B0016000,097077834,Beccar,328.8,160,90.0,363572,9193,10086,363572,-58.540341,-34.472921
097070B000000000000000000000001100B0017000,097077835,Beccar,293.43,160,90.0,324462,8204,9001,324462,-58.540412,-34.472818
097070B000000000000000000000001100B0018000,097077836,Beccar,289.12,160,90.0,319696,8084,8869,319696,-58.540475,-34.472727
097070B000000000000000000000001100B0019000,097077837,Beccar,299.15,160,90.0,330787,8364,9177,330787,-58.540535,-34.47263
097070B000000000000000000000001100B0020000,097077838,Beccar,286.58,160,90.0,316887,8012,8791,316887,-58.540605,-34.472541
097070B000000000000000000000001100C0001000,097066972,San Isidro,299.32,160,90.0,330975,8369,9182,330975,-58.541022,-34.472616
097070B000000000000000000000001100C0002000,097077839,San Isidro,294.09,160,90.0,325192,8222,9021,325192,-58.540956,-34.472709
097070B000000000000000000000001100C0003000,097077840,San Isidro,299.62,160,90.0,331306,8377,9191,331306,-58.54089,-34.472803
097070B000000000000000000000001100C0004000,097077841,San Isidro,294.23,160,90.0,325346,8226,9026,325346,-58.540825,-34.472896
097070B000000000000000000000001100C0005000,097077842,San Isidro,298.37,160,90.0,329924,8342,9153,329924,-58.540759,-34.47299
097070B000000000000000000000001100C0006000,097077843,San Isidro,350.74,160,90.0,387833,9806,10759,387833,-58.540648,-34.473035
097070B000000000000000000000001100C0007000,097077844,San Isidro,252.7,160,90.0,279424,7065,7752,279424,-58.5406,-34.473216
097070B000000000000000000000001100C0008000,097077845,San Isidro,282.5,160,90.0,312376,7898,8666,312376,-58.540542,-34.473298
097070B000000000000000000000001100C0009000,097077846,San Isidro,308.33,160,90.0,340937,8621,9458,340937,-58.540478,-34.473393
097070B000000000000000000000001100C0010000,097077847,San Isidro,304.77,160,90.0,337001,8521,9349,337001,-58.540409,-34.473487
097070B000000000000000000000001100C0011000,097077848,San Isidro,287.48,160,90.0,317882,8038,8819,317882,-58.540344,-34.473579
097070B000000000000000000000001100C0012000,097077849,San Isidro,691.45,160,90.0,764574,19332,21210,764574,-58.540399,-34.47374
097070B000000000000000000000001100C0013000,097077850,San Isidro,295.39,160,90.0,326629,8259,9061,326629,-58.540577,-34.473693
097070B000000000000000000000001100C0014000,097077851,San Isidro,303.12,160,90.0,335176,8475,9298,335176,-58.540643,-34.473602
097070B000000000000000000000001100C0015000,097077852,San Isidro,300.11,160,90.0,331848,8391,9206,331848,-58.540709,-34.473507
097070B000000000000000000000001100C0016000,097077853,San Isidro,287.7,160,90.0,318126,8044,8825,318126,-58.540775,-34.473416
