radio_id,nivel_geografico,prov,depto,partido,poblacion_sexo__total,poblacion_sexo__mujer_femenino,poblacion_sexo__varon_masculino,poblacion_edad__total,poblacion_edad__hasta_14_anos,poblacion_edad__15_a_64_anos,poblacion_edad__65_y_mas_anos,poblacion_edad_quinq__total,poblacion_edad_quinq__00_a_04,poblacion_edad_quinq__05_a_09,poblacion_edad_quinq__10_a_14,poblacion_edad_quinq__15_a_19,poblacion_edad_quinq__20_a_24,poblacion_edad_quinq__25_a_29,poblacion_edad_quinq__30_a_34,poblacion_edad_quinq__35_a_39,poblacion_edad_quinq__40_a_44,poblacion_edad_quinq__45_a_49,poblacion_edad_quinq__50_a_54,poblacion_edad_quinq__55_a_59,poblacion_edad_quinq__60_a_64,poblacion_edad_quinq__65_a_69,poblacion_edad_quinq__70_a_74,poblacion_edad_quinq__75_a_79,poblacion_edad_quinq__80_a_84,poblacion_edad_quinq__85_a_89,poblacion_edad_quinq__90_a_94,poblacion_edad_quinq__95_a_99,poblacion_edad_quinq__100_a_104,poblacion_edad_quinq__105_y_mas,educacion_mni__total,educacion_mni__sin_instruccion,educacion_mni__primario_incompleto,educacion_mni__primario_completo,educacion_mni__secundario_incompleto,educacion_mni__secundario_completo,educacion_mni__terciario_incompleto,educacion_mni__terciario_completo,educacion_mni__universitario_incompleto,educacion_mni__universitario_completo,educacion_mni__posgrado_incompleto,educacion_mni__posgrado_completo,educacion_mni__ignorado,hogares_nbi__total,hogares_nbi__si,hogares_nbi__no,hogares_ipmh__total,hogares_ipmh__sin_privacion,hogares_ipmh__privacion_solo_de_recursos_corrientes,hogares_ipmh__privacion_solo_de_recursos_patrimoniales,hogares_ipmh__privacion_convergente,hogares_hacinamiento__total,hogares_hacinamiento__hasta_0_50_personas_por_cuarto,hogares_hacinamiento__0_51_0_99_personas_por_cuarto,hogares_hacinamiento__1_00_1_49_personas_por_cuarto,hogares_hacinamiento__1_50_1_99_personas_por_cuarto,hogares_hacinamiento__2_00_3_00_personas_por_cuarto,hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_tenencia__total,hogares_tenencia__propia,hogares_tenencia__alquilada,hogares_tenencia__cedida_por_trabajo,hogares_tenencia__prestada,hogares_tenencia__otra_situacion,hogares_agua__total,hogares_agua__red_publica_agua_corriente,hogares_agua__perforacion_con_bomba_a_motor,hogares_agua__otra_procedencia,hogares_agua__perforacion_con_bomba_manual,hogares_agua__pozo_sin_bomba,hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c,hogares_agua_dist__total,hogares_agua_dist__por_caneria_dentro_de_la_vivienda,hogares_agua_dist__fuera_de_la_vivienda_pero_dentro_del_terreno,hogares_agua_dist__fuera_del_terreno,hogares_desague__total,hogares_desague__a_red_publica_cloaca,hogares_desague__a_camara_septica_y_pozo_ciego,hogares_desague__solo_a_pozo_ciego,hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,hogares_desague__no_aplica,hogares_combustible__total,hogares_combustible__electricidad,hogares_combustible__gas_de_red,hogares_combustible__gas_en_garrafa,hogares_combustible__gas_en_tubo_o_a_granel_zeppelin,hogares_combustible__lena_o_carbon,hogares_combustible__otro_combustible,viviendas_tipo__total,viviendas_tipo__casa,viviendas_tipo__rancho,viviendas_tipo__departamento,viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,viviendas_tipo__casilla,viviendas_tipo__pieza_en_inquilinato_hotel_familiar_o_pensio,viviendas_tipo__local_no_construido_para_habitacion_ocupado,viviendas_localidad__total,viviendas_localidad__san_isidro,fuente,fecha_descarga
067563302,radio,06,756,SAN ISIDRO,653,363,290,653,120,392,141,653,62,37,21,17,24,27,54,74,41,48,42,26,39,29,42,30,17,15,6,2,0,0,653,72,37,5,43,61,22,69,70,170,13,85,6,347,0,347,347,330,9,7,1,347,190,65,87,4,1,0,347,157,153,1,24,12,347,347,0,0,0,0,0,347,347,0,0,347,345,2,0,0,0,347,41,306,0,0,0,0,388,38,0,350,0,0,0,0,388,388,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563303,radio,06,756,SAN ISIDRO,1012,530,482,1012,143,706,163,1012,38,53,52,87,83,58,64,76,70,67,82,41,78,51,47,32,15,16,2,0,0,0,1012,70,77,61,137,166,50,101,135,150,12,48,5,373,4,369,373,330,26,13,4,373,136,111,93,13,20,0,373,247,76,1,33,16,373,367,4,2,0,0,0,373,370,3,0,372,353,9,10,0,1,373,39,312,19,3,0,0,386,348,0,36,0,0,2,0,386,386,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563304,radio,06,756,SAN ISIDRO,790,429,361,790,119,547,124,790,26,38,55,82,73,46,32,29,33,58,67,55,72,22,41,31,17,8,3,2,0,0,790,41,61,24,110,60,24,70,121,187,20,68,4,255,1,254,255,226,26,2,1,255,135,70,39,5,6,0,255,203,37,0,7,8,255,248,7,0,0,0,0,255,254,1,0,255,242,10,2,1,0,255,33,210,10,1,1,0,270,255,0,15,0,0,0,0,270,270,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563305,radio,06,756,SAN ISIDRO,1095,565,530,1095,151,683,261,1095,33,47,71,91,101,50,31,45,42,67,84,89,83,70,47,76,39,18,8,3,0,0,1095,48,70,21,120,89,32,113,205,296,8,85,8,387,1,386,387,355,26,6,0,387,227,120,36,4,0,0,387,338,30,2,11,6,387,383,4,0,0,0,0,387,387,0,0,387,378,5,4,0,0,387,53,326,8,0,0,0,451,440,0,10,0,0,0,1,451,451,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563306,radio,06,756,SAN ISIDRO,950,503,447,950,155,591,204,950,26,58,71,74,71,51,33,40,44,64,62,74,78,73,46,45,22,8,9,0,1,0,950,41,74,23,103,75,31,91,145,268,17,76,6,326,1,325,326,297,26,3,0,326,192,85,41,6,2,0,326,278,26,2,6,14,326,314,8,1,2,0,1,326,325,1,0,326,317,8,1,0,0,326,45,277,4,0,0,0,346,345,0,1,0,0,0,0,346,346,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563307,radio,06,756,SAN ISIDRO,555,298,257,555,79,389,87,555,14,30,35,50,45,38,17,22,38,35,39,57,48,29,23,11,12,7,5,0,0,0,555,16,52,21,65,57,21,57,92,111,9,51,3,191,3,188,191,170,14,3,4,191,109,58,18,3,3,0,191,159,19,1,6,6,191,183,6,2,0,0,0,191,190,1,0,191,175,9,7,0,0,191,38,144,8,1,0,0,200,189,0,8,0,2,1,0,200,200,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563308,radio,06,756,SAN ISIDRO,854,465,389,854,129,530,195,854,41,38,50,59,57,47,40,52,63,63,47,51,51,63,49,35,28,11,8,1,0,0,854,53,53,32,105,125,28,84,125,155,16,68,10,323,2,321,323,302,15,6,0,323,164,90,51,11,7,0,323,250,45,2,11,15,323,316,5,2,0,0,0,323,322,1,0,323,313,8,2,0,0,323,64,255,3,1,0,0,392,321,0,70,0,0,1,0,392,392,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563401,radio,06,756,SAN ISIDRO,1104,593,511,1104,208,763,133,1104,58,76,74,91,85,96,81,66,83,84,72,57,48,47,28,25,17,8,7,1,0,0,1104,93,118,146,290,258,36,43,70,28,6,5,11,323,18,305,323,215,58,33,17,323,67,52,115,28,51,10,323,198,59,0,19,47,323,317,2,4,0,0,0,323,322,1,0,323,270,30,21,2,0,323,27,213,80,3,0,0,315,288,1,18,0,7,0,1,315,315,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563402,radio,06,756,SAN ISIDRO,919,472,447,919,180,602,137,919,58,63,59,67,66,72,35,57,75,58,51,60,61,54,25,26,21,8,2,1,0,0,919,95,85,53,149,138,44,69,97,116,14,50,9,286,29,257,286,222,39,20,5,286,89,70,72,27,23,5,286,204,62,5,8,7,286,275,6,4,1,0,0,286,278,7,1,286,260,7,19,0,0,286,30,206,23,8,16,3,290,247,0,27,5,0,2,9,290,290,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563403,radio,06,756,SAN ISIDRO,910,486,424,910,173,584,153,910,48,59,66,67,58,63,62,57,67,66,50,45,49,56,42,23,18,8,5,1,0,0,910,73,92,91,191,189,46,73,81,50,4,14,6,325,11,314,325,258,43,18,6,325,94,76,101,25,22,7,325,221,62,1,17,24,325,322,1,2,0,0,0,325,325,0,0,325,278,37,10,0,0,325,20,274,30,1,0,0,325,297,0,24,0,2,1,1,325,325,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
